Model,DPO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,3.84025e-07,,,
Filter Frequency,290000,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.02,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-7.7656e-05,-0.444,-0.436,-0.0048,-0.0104
-7.7272e-05,-0.444,-0.448,-0.0064,0.0056
-7.6888e-05,-0.444,-0.436,-0.0072,-0.0128
-7.6504e-05,-0.444,-0.448,-0.0072,-0.0032
-7.6120e-05,-0.444,-0.44,-0.0072,-0.012
-7.5736e-05,-0.444,-0.448,-0.0072,-0.0032
-7.5352e-05,-0.444,-0.436,-0.0072,-0.0112
-7.4968e-05,-0.444,-0.448,-0.0064,-0.000800001
-7.4584e-05,-0.444,-0.436,-0.0048,-0.0088
-7.4200e-05,-0.44,-0.448,-0.0032,0.000799999
-7.3816e-05,-0.444,-0.436,-0.000800001,-0.0072
-7.3432e-05,-0.444,-0.448,0.000799999,0.004
-7.3048e-05,-0.444,-0.436,0.0016,-0.000800001
-7.2664e-05,-0.444,-0.448,0.0016,0.004
-7.2280e-05,-0.444,-0.44,0.0016,-0.0032
-7.1896e-05,-0.444,-0.448,0.0024,0.0088
-7.1512e-05,-0.444,-0.436,0.0024,-0.0024
-7.1127e-05,-0.444,-0.448,0.0032,0.008
-7.0743e-05,-0.444,-0.436,0.0032,-0.000800001
-7.0359e-05,-0.444,-0.448,0.0032,0.008
-6.9975e-05,-0.444,-0.436,0.0032,-0.0024
-6.9591e-05,-0.444,-0.448,0.0024,0.0064
-6.9207e-05,-0.444,-0.436,0.0016,-0.0032
-6.8823e-05,-0.444,-0.448,0.0016,0.0072
-6.8439e-05,-0.444,-0.44,0.0024,-0.0072
-6.8055e-05,-0.444,-0.448,0.0032,0.0152
-6.7671e-05,-0.444,-0.436,0.004,-5.72205e-10
-6.7287e-05,-0.444,-0.448,0.004,0.008
-6.6903e-05,-0.444,-0.436,0.0032,-5.72205e-10
-6.6519e-05,-0.444,-0.448,0.0024,0.0064
-6.6135e-05,-0.444,-0.436,0.000799999,-0.0024
-6.5751e-05,-0.444,-0.448,-0.000800001,0.0064
-6.5367e-05,-0.444,-0.436,-0.0016,-0.008
-6.4983e-05,-0.444,-0.448,-0.0016,0.004
-6.4599e-05,-0.444,-0.436,-0.0024,-0.0064
-6.4215e-05,-0.444,-0.448,-0.0024,0.0032
-6.3831e-05,-0.444,-0.436,-0.0032,-0.0104
-6.3447e-05,-0.444,-0.448,-0.004,-5.72205e-10
-6.3063e-05,-0.444,-0.436,-0.004,-0.008
-6.2679e-05,-0.444,-0.448,-0.004,-0.000800001
-6.2295e-05,-0.444,-0.436,-0.004,-0.0088
-6.1911e-05,-0.444,-0.448,-0.004,-0.000800001
-6.1527e-05,-0.444,-0.44,-0.0032,-0.0064
-6.1143e-05,-0.444,-0.448,-0.0032,-5.72205e-10
-6.0759e-05,-0.444,-0.436,-0.0024,-0.0072
-6.0375e-05,-0.444,-0.448,-0.0032,0.0056
-5.9991e-05,-0.444,-0.436,-0.0032,-0.0096
-5.9607e-05,-0.444,-0.448,-0.0024,0.0024
-5.9223e-05,-0.444,-0.436,-0.000800001,-0.0056
-5.8839e-05,-0.444,-0.448,-5.72205e-10,0.0024
-5.8455e-05,-0.444,-0.436,0.0016,-0.004
-5.8071e-05,-0.444,-0.448,0.0032,0.0144
-5.7687e-05,-0.444,-0.436,0.004,-0.004
-5.7303e-05,-0.444,-0.448,0.0048,0.0104
-5.6919e-05,-0.444,-0.44,0.0048,-0.0016
-5.6535e-05,-0.444,-0.448,0.004,0.0096
-5.6151e-05,-0.444,-0.44,0.0032,-0.000800001
-5.5767e-05,-0.444,-0.448,0.0024,0.0072
-5.5382e-05,-0.444,-0.436,0.0016,-0.000800001
-5.4998e-05,-0.444,-0.448,0.000799999,0.0064
-5.4614e-05,-0.444,-0.436,0.000799999,-0.0048
-5.4230e-05,-0.444,-0.448,0.000799999,0.0072
-5.3846e-05,-0.444,-0.436,0.000799999,-0.004
-5.3462e-05,-0.444,-0.448,0.0016,0.0056
-5.3078e-05,-0.444,-0.436,0.0016,-0.000800001
-5.2694e-05,-0.444,-0.448,-5.72205e-10,0.004
-5.2310e-05,-0.444,-0.436,-0.000800001,-0.0064
